"Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"721","Accommodation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",17,"...","...","...","...","...","...","...",27365,"...","...","...","...",9,445,177433,182,"...","...","...","...",10742,"...",216192,"...","...",216192,"...","...","...","...",18446,"...",18446,234638
"722","Food services and drinking places","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",18672,8533,17315,"...","...","...","...","...","...",78,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",10747,208,2560,345,"...",4086,13986,44032,803730,3701,"...","...",1528,19722,"...",949244,"...","...",949244,"...","...","...","...",60550,"...",60550,1009794
"81","Other services, except government","...","...","...","...","...","...","...","...","...","...",119,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",64551,80833,24,4049,17408,"...","...","...","...","...","...",1189,"...","...","...",2584,"...","...","...","...","...","...",57,1988,"...",2088,2612,"...","...","...",16,"...","...","...","...",377,1163,1781,"...",710384,"...","...",0,1207,3490,895920,5373,"...",901293,"...","...","...",1,20638,"...",20639,921932
"GFGD","Federal general government (defense)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",637399,"...","...","...","...",637399,"...","...",637399,"...","...","...","...",0,"...",0,637399
"GFGN","Federal general government (nondefense)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",419506,"...","...","...",419506,"...","...",419506,"...","...","...","...",0,"...",0,419506
"GFE","Federal government enterprises","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",553,70307,"...","...",70860,294,"...",71154,"...","...","...","...",0,"...",0,71154
"GSLG","State and local general government","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1847409,"...",1847409,"...","...",1847409,"...","...","...","...",0,"...",0,1847409
"GSLE","State and local government enterprises","...","...","...","...","...",1863,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",108344,110207,"...","...",110207,"...","...","...","...",0,"...",0,110207
"Other","Noncomparable imports and rest-of-the-world adjustment","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3273,"...","...","...",3273,289659,"...",292932,"...","...","...","...",0,"...",0,292932
"Used","Scrap, used and secondhand goods","...","...","...","...","...","...","...",57,8,800,1128,184,0,0,999,81,"...",0,3,0,0,374,62,"...","...",74,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",613,"...","...","...","...","...","...","...","...",184,"...","...","...","...",4195,"...",8765,16471,"...",25236,117934,36654,154587,43,15947,"...",15990,195814
"T017","Total industry supply",401286,56822,400500,103110,105782,478267,1606556,116000,132985,256247,394920,399290,377043,136269,754017,344446,77561,177483,951994,56841,19939,189687,83071,652649,833181,234720,1809174,271301,228267,201000,940468,215075,87122,53057,366758,77365,52289,250737,140133,365496,161944,840586,427592,985378,670722,1162471,166346,2252741,1368337,328022,347590,467302,1533394,634152,984875,104186,368652,1098330,940571,256002,220747,195849,150787,261754,808658,726152,665002,444028,98365,2405731,375884,35851057,2858613,-19822,38689848,0,0,0,53221,753380,-64396,742205,39432054
